# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = improper_uniform_priors_model
# start_datetime = 2024-04-25 13:07:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpjlym7j_h\306izq8p.json
# init = 0
# random
#   seed = 796872812
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\improper_uniform_priors\realisation3\improper_uniform_priors-20240425140737.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=improper_uniform_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-59.8357,1,0.0625,2,3,0,78.4131,0.840963,0.615488,1.22999
-59.8357,0,14.3855,0,1,1,61.4906,0.840963,0.615488,1.22999
-59.8357,0,2.43117,0,1,1,60.0545,0.840963,0.615488,1.22999
-56.0159,0.333333,0.239791,2,3,0,59.5932,1.41637,0.535474,1.72092
-56.6321,0.946394,0.0482795,2,7,0,57.1756,1.27869,0.505206,1.85904
-58.054,0.910478,0.059233,2,3,0,58.3778,1.17042,0.498163,1.82107
-56.6043,0.995791,0.0723397,3,7,0,58.3006,1.28575,0.482465,1.57177
-56.8261,0.767331,0.122615,3,7,0,58.3056,1.22173,0.538154,1.87396
-55.7052,0.995743,0.106048,3,15,0,57.4893,1.43164,0.747519,2.09571
-56.1769,0.292841,0.192488,1,3,0,56.9701,1.30389,0.830716,1.97191
-55.9791,0.99905,0.0385046,3,7,0,56.3977,1.15583,0.796259,2.34061
-55.2282,0.995345,0.0726623,4,31,0,56.5791,1.55529,0.910001,4.99315
-56.6047,0.383378,0.136431,3,7,0,57.1983,1.83217,1.07964,4.97871
-57.1818,0.970057,0.0376595,3,7,0,58.5341,1.86611,1.14373,5.16224
-56.2977,0.979248,0.0659883,3,11,0,58.8237,1.43015,1.2667,6.21403
-55.6951,0.982818,0.11869,2,7,0,57.2301,1.63299,1.20835,4.08572
-56.796,0.184858,0.214808,2,4,1,59.6361,1.04355,1.09891,2.58115
-57.5275,0.998098,0.0337652,5,31,0,58.4536,1.54623,0.456556,3.81992
-56.3565,1,0.0643225,3,15,0,58.7953,1.70531,0.646426,2.49671
-56.2732,0.984147,0.122197,4,15,0,57.6584,1.13716,0.84257,2.56507
-55.1318,0.25,0.219394,2,4,1,56.2182,1.42915,1.07167,3.00244
-55.5588,0.936056,0.0445549,4,31,0,59.2051,1.47675,1.26128,5.79116
-55.5643,0.956262,0.0695003,2,7,0,61.436,1.69472,1.03858,6.15104
-55.2368,0.911624,0.114183,3,15,0,56.2062,1.42819,1.04125,2.87017
-57.2879,0.752974,0.163637,3,7,0,57.7556,1.6094,0.362508,1.56973
-56.7975,0.998075,0.148178,3,7,0,57.4971,1.32399,0.44915,1.41608
-56.7975,1.44182e-011,0.269191,1,1,0,60.1355,1.32399,0.44915,1.41608
-54.5887,0.997961,0.0293455,5,63,0,57.7153,1.37607,0.928772,3.29086
-54.8379,0.996091,0.0535023,4,31,0,55.091,1.52608,1.12761,4.83269
-54.8379,0.456438,0.0960781,1,3,0,57.6371,1.52608,1.12761,4.83269
-55.6751,0.992896,0.0389774,5,47,0,56.9038,1.59178,0.510113,2.52865
-55.1134,0.9997,0.0689047,4,31,0,55.8656,1.28803,1.23113,3.51358
-57.5886,0.608007,0.122907,2,7,0,57.8324,1.06996,1.16395,3.45125
-55.502,0.994668,0.0762582,4,23,0,59.9224,1.38081,0.584516,2.00373
-54.8916,0.515885,0.132852,2,7,0,57.7857,1.57905,0.771817,2.98318
-55.1511,0.984758,0.0651397,4,19,0,55.6519,1.69358,0.852447,4.14229
-55.0666,0.956481,0.109737,3,7,0,56.0889,1.28312,0.838585,2.82642
-55.7269,0.135013,0.170411,2,7,0,56.3467,1.15222,0.950711,2.63012
-54.8642,0.999834,0.0318649,4,15,0,56.4094,1.53361,0.879466,2.98605
-56.2665,0.986282,0.0554002,5,31,0,56.4655,1.32967,0.510387,1.96607
-55.4853,0.976525,0.0922861,3,7,0,57.0234,1.26924,0.679435,2.17463
-56.0823,0.46043,0.148853,3,7,0,56.747,1.324,0.615042,2.63625
-55.5921,0.942947,0.0658541,3,15,0,59.1156,1.50066,1.09086,3.06653
-56.3073,0.931057,0.0972819,3,15,0,57.0571,1.20742,0.749234,2.70755
-54.8543,0.944744,0.138769,3,9,0,55.9003,1.36565,0.936915,3.61069
-54.8543,3.07599e-030,0.203611,1,1,0,58.5129,1.36565,0.936915,3.61069
-56.3509,0.990705,0.0301347,6,63,0,58.3545,1.7262,1.47336,7.354
-56.394,0.999473,0.0496301,5,31,0,57.441,1.7646,1.20061,8.36913
-56.4893,0.920068,0.0828843,2,3,0,56.9225,1.78142,1.29314,8.34487
-54.8606,0.993522,0.113836,3,15,0,57.0462,1.50886,0.83435,4.01438
-54.5039,0.403794,0.185084,1,3,0,55.3487,1.44429,0.941584,3.18847
-54.7197,0.992517,0.0751483,5,31,0,54.7934,1.53264,1.13387,4.21529
-54.7989,0.715878,0.121417,3,15,0,56.7808,1.29616,0.955958,2.96916
-54.9272,0.970556,0.102851,3,15,0,55.1407,1.40294,0.754699,3.11826
-54.7618,0.960803,0.156673,3,7,0,54.9727,1.31161,0.89857,2.84142
